<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;5;20200108;145000;255.2100000;255.2500000;255.1300000;255.1500000;243700
GAZP;5;20200108;145500;255.1600000;255.2500000;255.0400000;255.1000000;390450
GAZP;5;20200108;150000;255.1300000;255.2200000;255.0600000;255.1600000;99670
GAZP;5;20200108;150500;255.1200000;255.3600000;255.0700000;255.3000000;94930
GAZP;5;20200108;151000;255.2900000;255.3000000;255.0800000;255.2000000;83990
GAZP;5;20200108;151500;255.2000000;255.2600000;255.1400000;255.2100000;37390
GAZP;5;20200108;152000;255.2100000;255.2400000;255.1300000;255.1600000;81280
GAZP;5;20200108;152500;255.1600000;255.3000000;255.1000000;255.2000000;92610
GAZP;5;20200108;153000;255.2400000;255.3600000;255.1300000;255.1800000;49380
GAZP;5;20200108;153500;255.2000000;255.2400000;255.1000000;255.1900000;156780
GAZP;5;20200108;154000;255.2200000;255.5800000;255.1900000;255.5200000;296490
GAZP;5;20200108;154500;255.5100000;255.7300000;255.3100000;255.3100000;284990
GAZP;5;20200108;155000;255.3000000;255.4500000;255.2400000;255.3100000;85770
GAZP;5;20200108;155500;255.3100000;255.3800000;255.2300000;255.2900000;61050
GAZP;5;20200108;160000;255.2900000;255.2900000;255.0800000;255.1700000;195960
GAZP;5;20200108;160500;255.1400000;255.4100000;255.1000000;255.3500000;86330
GAZP;5;20200108;161000;255.3400000;255.4800000;255.3000000;255.4100000;61030
GAZP;5;20200108;161500;255.4100000;255.6000000;255.4000000;255.5400000;84210
GAZP;5;20200108;162000;255.5300000;255.5300000;255.1500000;255.2600000;224500
GAZP;5;20200108;162500;255.2600000;255.5200000;255.2600000;255.4900000;60120
GAZP;5;20200108;163000;255.5000000;255.6000000;255.3900000;255.5300000;105450
GAZP;5;20200108;163500;255.5200000;255.5900000;255.4400000;255.5200000;94270
GAZP;5;20200108;164000;255.5000000;255.5300000;255.4300000;255.4900000;111100
GAZP;5;20200108;164500;255.4900000;255.5200000;255.0800000;255.1900000;537580
GAZP;5;20200108;165000;255.1800000;255.2300000;255.1400000;255.1800000;120290
GAZP;5;20200108;165500;255.1800000;255.3500000;255.1600000;255.3200000;116280
GAZP;5;20200108;170000;255.3200000;255.5500000;255.1700000;255.2400000;337530
GAZP;5;20200108;170500;255.2300000;255.5000000;255.2000000;255.3400000;262580
GAZP;5;20200108;171000;255.3500000;255.4800000;255.3500000;255.3800000;110830
GAZP;5;20200108;171500;255.3600000;255.4100000;255.3000000;255.3600000;110080
GAZP;5;20200108;172000;255.3400000;255.8000000;255.3300000;255.7900000;307370
GAZP;5;20200108;172500;255.7600000;255.9500000;255.7500000;255.8300000;360470
GAZP;5;20200108;173000;255.8300000;255.9000000;255.6300000;255.8000000;250980
GAZP;5;20200108;173500;255.7300000;255.8000000;255.6600000;255.8000000;117500
GAZP;5;20200108;174000;255.7700000;255.8000000;255.5400000;255.6600000;136090
GAZP;5;20200108;174500;255.6100000;255.6900000;255.2700000;255.4100000;289670
GAZP;5;20200108;175000;255.4500000;255.4900000;255.3700000;255.4900000;96190
GAZP;5;20200108;175500;255.4900000;255.7900000;255.4900000;255.5900000;166540
GAZP;5;20200108;180000;255.5900000;255.5900000;255.3400000;255.4500000;123740
GAZP;5;20200108;180500;255.4500000;255.5300000;255.3400000;255.4600000;133760
GAZP;5;20200108;181000;255.4400000;255.5500000;255.3900000;255.5200000;115380
GAZP;5;20200108;181500;255.5100000;255.5600000;255.3100000;255.3500000;140030
GAZP;5;20200108;182000;255.4000000;255.5500000;255.3600000;255.4600000;181870
GAZP;5;20200108;182500;255.4900000;255.5400000;255.3800000;255.3900000;203050
GAZP;5;20200108;183000;255.3700000;255.4400000;255.2500000;255.3200000;349240
GAZP;5;20200108;183500;255.3300000;255.3900000;255.2600000;255.3000000;351850
GAZP;5;20200108;184500;255.7900000;255.7900000;255.7900000;255.7900000;2053290
GAZP;5;20200109;100000;255.6600000;256.1000000;255.3300000;255.9300000;603680
GAZP;5;20200109;100500;255.9300000;256.1700000;255.7500000;256.0700000;345990
GAZP;5;20200109;101000;256.0700000;256.4000000;256.0400000;256.3800000;353140
GAZP;5;20200109;101500;256.3800000;256.6800000;256.3200000;256.4400000;487230
GAZP;5;20200109;102000;256.5500000;256.6000000;256.2500000;256.4900000;137400
GAZP;5;20200109;102500;256.4800000;256.6200000;256.3300000;256.5500000;217200
GAZP;5;20200109;103000;256.5200000;256.5600000;256.1900000;256.3400000;189270
GAZP;5;20200109;103500;256.3400000;256.4600000;256.2200000;256.3800000;138730
GAZP;5;20200109;104000;256.3600000;256.4000000;256.0100000;256.0100000;139280
GAZP;5;20200109;104500;256.0100000;256.2500000;255.8700000;256.1500000;292500
GAZP;5;20200109;105000;256.1400000;256.1900000;255.8700000;255.9500000;137960
GAZP;5;20200109;105500;255.9500000;256.2000000;255.8700000;256.2000000;188210
GAZP;5;20200109;110000;256.2000000;256.2000000;255.1100000;255.4800000;802390
GAZP;5;20200109;110500;255.5000000;255.8000000;254.2000000;254.2500000;1616750
GAZP;5;20200109;111000;254.2100000;254.3700000;253.8000000;254.2500000;1195270
